,chrom,start,end
72,chr1,105850000,107150000
73,chr1,107150000,110150000
74,chr1,110150000,111050000
75,chr1,111050000,112350000
76,chr1,112350000,113150000
77,chr1,113150000,113850000
78,chr1,113850000,114850000
79,chr1,114850000,116050000
80,chr1,116050000,116550000
81,chr1,116550000,118050000
82,chr1,118050000,119650000
83,chr1,119650000,150350000
84,chr1,150350000,152050000
85,chr1,152050000,153350000
86,chr1,153350000,155150000
87,chr1,155150000,159150000
88,chr1,159150000,160450000
89,chr1,160450000,161050000
90,chr1,161050000,162450000
91,chr1,162450000,163450000
92,chr1,163450000,165050000
93,chr1,165050000,166750000
94,chr1,166750000,167650000
95,chr1,167650000,168250000
96,chr1,168250000,169850000
97,chr1,169850000,171550000
98,chr1,171550000,172650000
99,chr1,172650000,174250000
100,chr1,174250000,175050000
101,chr1,175050000,176250000
102,chr1,176250000,177850000
103,chr1,177850000,179750000
104,chr1,179750000,180550000
105,chr1,180550000,181350000
106,chr1,181350000,182850000
107,chr1,182850000,184050000
108,chr1,184050000,184750000
109,chr1,184750000,185750000
110,chr1,185750000,186350000
111,chr1,186350000,187050000
112,chr1,187050000,192450000
113,chr1,192450000,193150000
114,chr1,193150000,196050000
115,chr1,196050000,197450000
116,chr1,197450000,198750000
117,chr1,198750000,199550000
118,chr1,199550000,200550000
119,chr1,200550000,202150000
120,chr1,202150000,202950000
121,chr1,202950000,203750000
122,chr1,203750000,204550000
123,chr1,204550000,207050000
124,chr1,207050000,207550000
125,chr1,207550000,208450000
126,chr1,208450000,209450000
127,chr1,209450000,211250000
128,chr1,211250000,213150000
129,chr1,213150000,214150000
130,chr1,214150000,215650000
131,chr1,215650000,218250000
132,chr1,218250000,220250000
133,chr1,220250000,220850000
134,chr1,220850000,221450000
135,chr1,221450000,222550000
136,chr1,222550000,223750000
137,chr1,223750000,224450000
138,chr1,224450000,225350000
139,chr1,225350000,226450000
140,chr1,226450000,227550000
141,chr1,227550000,229650000
142,chr1,229650000,230450000
143,chr1,230450000,231750000
144,chr1,231750000,233350000
145,chr1,233350000,234450000
146,chr1,234450000,236050000
147,chr1,236050000,237650000
148,chr1,237650000,238950000
149,chr1,238950000,239950000
150,chr1,239950000,240750000
151,chr1,240750000,241950000
152,chr1,241950000,243050000
153,chr1,243050000,244350000
154,chr1,244350000,246850000
155,chr1,246850000,247450000
156,chr2,650000,1850000
157,chr2,1850000,3750000
158,chr2,3750000,6950000
159,chr2,6950000,8750000
160,chr2,8750000,10750000
161,chr2,10750000,11750000
162,chr2,11750000,13050000
163,chr2,13050000,15650000
164,chr2,15650000,16750000
165,chr2,16750000,17750000
166,chr2,17750000,18350000
167,chr2,18350000,19850000
168,chr2,19850000,21050000
169,chr2,21050000,25750000
170,chr2,25750000,27650000
171,chr2,27650000,28950000
172,chr2,28950000,30150000
173,chr2,30150000,30750000
174,chr2,30750000,31650000
175,chr2,31650000,33650000
176,chr2,33650000,36250000
177,chr2,36250000,37250000
178,chr2,37250000,39850000
179,chr2,39850000,41750000
180,chr2,41750000,42750000
181,chr2,42750000,44450000
182,chr2,44450000,45550000
183,chr2,45550000,47850000
184,chr2,47850000,48650000
185,chr2,48650000,50450000
186,chr2,50450000,53750000
187,chr2,53750000,55650000
188,chr2,55650000,57650000
189,chr2,57650000,58650000
190,chr2,58650000,60650000
191,chr2,60650000,61850000
192,chr2,61850000,63550000
193,chr2,63550000,65650000
194,chr2,65650000,68050000
195,chr2,68050000,70250000
196,chr2,70250000,71050000
197,chr2,71050000,73350000
198,chr2,73350000,74550000
199,chr2,74550000,75850000
200,chr2,75850000,84350000
201,chr2,84350000,86150000
202,chr2,86150000,88650000
203,chr2,88650000,99250000
204,chr2,99250000,100350000
205,chr2,100350000,101250000
206,chr2,101250000,102750000
207,chr2,102750000,105150000
208,chr2,105150000,106150000
209,chr2,106150000,106650000
210,chr2,106650000,108150000
211,chr2,108150000,108750000
212,chr2,108750000,111950000
213,chr2,111950000,112550000
214,chr2,112550000,117750000
215,chr2,117750000,119550000
216,chr2,119550000,120250000
217,chr2,120250000,121850000
218,chr2,121850000,126950000
219,chr2,126950000,127950000
220,chr2,127950000,128850000
221,chr2,128850000,132450000
222,chr2,132450000,133150000
223,chr2,133150000,133850000
224,chr2,133850000,134950000
225,chr2,134950000,135850000
226,chr2,135850000,136850000
227,chr2,136850000,137850000
228,chr2,137850000,138850000
229,chr2,138850000,140050000
230,chr2,140050000,143050000
231,chr2,143050000,144550000
232,chr2,144550000,146750000
233,chr2,146750000,147850000
234,chr2,147850000,149050000
235,chr2,149050000,149550000
236,chr2,149550000,151550000
237,chr2,151550000,152750000
238,chr2,152750000,154550000
239,chr2,154550000,157250000
240,chr2,157250000,158850000
241,chr2,158850000,159950000
242,chr2,159950000,161450000
243,chr2,161450000,163150000
244,chr2,163150000,164550000
245,chr2,164550000,165950000
246,chr2,165950000,166550000
247,chr2,166550000,167950000
248,chr2,167950000,169350000
249,chr2,169350000,170250000
250,chr2,170250000,170850000
251,chr2,170850000,171550000
252,chr2,171550000,172650000
253,chr2,172650000,174450000
254,chr2,174450000,175150000
255,chr2,175150000,176650000
256,chr2,176650000,177850000
257,chr2,177850000,178550000
258,chr2,178550000,179950000
259,chr2,179950000,181050000
260,chr2,181050000,181650000
261,chr2,181650000,183250000
262,chr2,183250000,184450000
263,chr2,184450000,186450000
264,chr2,186450000,187550000
265,chr2,187550000,189650000
266,chr2,189650000,190950000
267,chr2,190950000,191650000
268,chr2,191650000,192350000
269,chr2,192350000,196850000
270,chr2,196850000,197650000
271,chr2,197650000,198350000
272,chr2,198350000,199850000
273,chr2,199850000,200750000
274,chr2,200750000,201750000
275,chr2,201750000,202350000
276,chr2,202350000,203950000
277,chr2,203950000,204750000
278,chr2,204750000,206150000
279,chr2,206150000,208350000
280,chr2,208350000,209250000
281,chr2,209250000,210350000
282,chr2,210350000,212550000
283,chr2,212550000,213350000
284,chr2,213350000,215250000
285,chr2,215250000,216050000
286,chr2,216050000,216550000
287,chr2,216550000,218250000
288,chr2,218250000,219750000
289,chr2,219750000,221850000
290,chr2,221850000,222550000
291,chr2,222550000,223850000
292,chr2,223850000,225650000
293,chr2,225650000,227050000
294,chr2,227050000,228550000
295,chr2,228550000,229850000
296,chr2,229850000,231650000
297,chr2,231650000,232550000
298,chr2,232550000,233650000
299,chr2,233650000,234550000
300,chr2,234550000,235150000
301,chr2,235150000,235750000
302,chr2,235750000,236250000
303,chr2,236250000,237050000
304,chr2,237050000,238350000
305,chr2,238350000,238950000
306,chr2,238950000,240050000
307,chr3,550000,3150000
308,chr3,3150000,4250000
309,chr3,4250000,5250000
310,chr3,5250000,9750000
311,chr3,9750000,10250000
312,chr3,10250000,11250000
313,chr3,11250000,11950000
314,chr3,11950000,12750000
315,chr3,12750000,13750000
316,chr3,13750000,15650000
317,chr3,15650000,16650000
318,chr3,16650000,17950000
319,chr3,17950000,18450000
320,chr3,18450000,20350000
321,chr3,20350000,22150000
322,chr3,22150000,22950000
323,chr3,22950000,23850000
324,chr3,23850000,24750000
325,chr3,24750000,25750000
326,chr3,25750000,27150000
327,chr3,27150000,27750000
328,chr3,27750000,28450000
329,chr3,28450000,29950000
330,chr3,29950000,30750000
331,chr3,30750000,33850000
332,chr3,33850000,36050000
333,chr3,36050000,37350000
334,chr3,37350000,37950000
335,chr3,37950000,39550000
336,chr3,39550000,40250000
337,chr3,40250000,42750000
338,chr3,42750000,44350000
339,chr3,44350000,44950000
340,chr3,44950000,46750000
341,chr3,46750000,47450000
342,chr3,47450000,50650000
343,chr3,50650000,51850000
344,chr3,51850000,53250000
345,chr3,53250000,53950000
346,chr3,53950000,54850000
347,chr3,54850000,56350000
348,chr3,56350000,58650000
349,chr3,58650000,61450000
350,chr3,61450000,62250000
351,chr3,62250000,63850000
352,chr3,63850000,64550000
353,chr3,64550000,65350000
354,chr3,65350000,66250000
355,chr3,66250000,66950000
356,chr3,66950000,67850000
357,chr3,67850000,68950000
358,chr3,68950000,69950000
359,chr3,69950000,71750000
360,chr3,71750000,72950000
361,chr3,72950000,73950000
362,chr3,73950000,75150000
363,chr3,75150000,75650000
364,chr3,75650000,76650000
365,chr3,76650000,77250000
366,chr3,77250000,78550000
367,chr3,78550000,79450000
368,chr3,79450000,81350000
369,chr3,81350000,83550000
370,chr3,83550000,85750000
371,chr3,85750000,86650000
372,chr3,86650000,87250000
373,chr3,87250000,88150000
374,chr3,88150000,90250000
375,chr3,90250000,94050000
376,chr3,94050000,97650000
377,chr3,97650000,98450000
378,chr3,98450000,99750000
379,chr3,99750000,101750000
380,chr3,101750000,102650000
381,chr3,102650000,103950000
382,chr3,103950000,104550000
383,chr3,104550000,105450000
384,chr3,105450000,107150000
385,chr3,107150000,107750000
386,chr3,107750000,108550000
387,chr3,108550000,111550000
388,chr3,111550000,112050000
389,chr3,112050000,115150000
390,chr3,115150000,115850000
391,chr3,115850000,116750000
392,chr3,116750000,119150000
393,chr3,119150000,119750000
394,chr3,119750000,121450000
395,chr3,121450000,122350000
396,chr3,122350000,123650000
397,chr3,123650000,124650000
398,chr3,124650000,125750000
399,chr3,125750000,126550000
400,chr3,126550000,127550000
401,chr3,127550000,128150000
402,chr3,128150000,129450000
403,chr3,129450000,130150000
404,chr3,130150000,130850000
405,chr3,130850000,132350000
406,chr3,132350000,133450000
407,chr3,133450000,134550000
408,chr3,134550000,135950000
409,chr3,135950000,137150000
410,chr3,137150000,137950000
411,chr3,137950000,139450000
412,chr3,139450000,140850000
413,chr3,140850000,142450000
414,chr3,142450000,143050000
415,chr3,143050000,143850000
416,chr3,143850000,144950000
417,chr3,144950000,146650000
418,chr3,146650000,148250000
419,chr3,148250000,149850000
420,chr3,149850000,151250000
421,chr3,151250000,151950000
422,chr3,151950000,152550000
423,chr3,152550000,154350000
424,chr3,154350000,155950000
425,chr3,155950000,156550000
426,chr3,156550000,157550000
427,chr3,157550000,158650000
428,chr3,158650000,160550000
429,chr3,160550000,161450000
430,chr3,161450000,165150000
431,chr3,165150000,167150000
432,chr3,167150000,168950000
433,chr3,168950000,169750000
434,chr3,169750000,170950000
435,chr3,170950000,171650000
436,chr3,171650000,172850000
437,chr3,172850000,176850000
438,chr3,176850000,178350000
439,chr3,178350000,179750000
440,chr3,179750000,180650000
441,chr3,180650000,182650000
442,chr3,182650000,185550000
443,chr3,185550000,186650000
444,chr3,186650000,187250000
445,chr3,187250000,187750000
446,chr3,187750000,189150000
447,chr3,189150000,191450000
448,chr3,191450000,192450000
449,chr3,192450000,193650000
450,chr3,193650000,194550000
451,chr3,194550000,196050000
452,chr3,196050000,196850000
453,chr3,196850000,197750000
454,chr4,5950000,10550000
455,chr4,10550000,12650000
456,chr4,12650000,13550000
457,chr4,13550000,16350000
458,chr4,16350000,17450000
459,chr4,17450000,18650000
460,chr4,18650000,20750000
461,chr4,20750000,21550000
462,chr4,21550000,22850000
463,chr4,22850000,24450000
464,chr4,24450000,25350000
465,chr4,25350000,25850000
466,chr4,25850000,27150000
467,chr4,27150000,27650000
468,chr4,27650000,29150000
469,chr4,29150000,30650000
470,chr4,30650000,36350000
471,chr4,36350000,37450000
472,chr4,37450000,38750000
473,chr4,38750000,40750000
474,chr4,40750000,41350000
475,chr4,41350000,42050000
476,chr4,42050000,43650000
477,chr4,43650000,44650000
478,chr4,44650000,46850000
479,chr4,46850000,47550000
480,chr4,47550000,48950000
481,chr4,48950000,53050000
482,chr4,53050000,54350000
483,chr4,54350000,56350000
484,chr4,56350000,57050000
485,chr4,57050000,59250000
486,chr4,59250000,60250000
487,chr4,60250000,62750000
488,chr4,62750000,64750000
489,chr4,64750000,67350000
490,chr4,67350000,69550000
491,chr4,69550000,70550000
492,chr4,70550000,71750000
493,chr4,71750000,73050000
494,chr4,73050000,74250000
495,chr4,74250000,74750000
496,chr4,74750000,75550000
497,chr4,75550000,77150000
498,chr4,77150000,77950000
499,chr4,77950000,78950000
500,chr4,78950000,80350000
501,chr4,80350000,81450000
502,chr4,81450000,82350000
503,chr4,82350000,83550000
504,chr4,83550000,85050000
505,chr4,85050000,87350000
506,chr4,87350000,89150000
507,chr4,89150000,90350000
508,chr4,90350000,94250000
509,chr4,94250000,95150000
510,chr4,95150000,98050000
511,chr4,98050000,99950000
512,chr4,99950000,102350000
513,chr4,102350000,103150000
514,chr4,103150000,103950000
515,chr4,103950000,105050000
516,chr4,105050000,106950000
517,chr4,106950000,107850000
518,chr4,107850000,108650000
519,chr4,108650000,109350000
520,chr4,109350000,109950000
521,chr4,109950000,110650000
522,chr4,110650000,112050000
523,chr4,112050000,113150000
524,chr4,113150000,114750000
525,chr4,114750000,116050000
526,chr4,116050000,118450000
527,chr4,118450000,120150000
528,chr4,120150000,121150000
529,chr4,121150000,121850000
530,chr4,121850000,123050000
531,chr4,123050000,124250000
532,chr4,124250000,125250000
533,chr4,125250000,127650000
534,chr4,127650000,129250000
535,chr4,129250000,132650000
536,chr4,132650000,134850000
537,chr4,134850000,137050000
538,chr4,137050000,138050000
539,chr4,138050000,138950000
540,chr4,138950000,141250000
541,chr4,141250000,142150000
542,chr4,142150000,143650000
543,chr4,143650000,144150000
544,chr4,144150000,145150000
545,chr4,145150000,146250000
546,chr4,146250000,146950000
547,chr4,146950000,148050000
548,chr4,148050000,149950000
549,chr4,149950000,151050000
550,chr4,151050000,151750000
551,chr4,151750000,152750000
552,chr4,152750000,153750000
553,chr4,153750000,154750000
554,chr4,154750000,155350000
555,chr4,155350000,156050000
556,chr4,156050000,157150000
557,chr4,157150000,158050000
558,chr4,158050000,158650000
559,chr4,158650000,159550000
560,chr4,159550000,162450000
561,chr4,162450000,163550000
562,chr4,163550000,165050000
563,chr4,165050000,165550000
564,chr4,165550000,166150000
565,chr4,166150000,166750000
566,chr4,166750000,168150000
567,chr4,168150000,168950000
568,chr4,168950000,169650000
569,chr4,169650000,170150000
570,chr4,170150000,172250000
571,chr4,172250000,172850000
572,chr4,172850000,173450000
573,chr4,173450000,174250000
574,chr4,174250000,174750000
575,chr4,174750000,175650000
576,chr4,175650000,177650000
577,chr4,177650000,181550000
578,chr4,181550000,182850000
579,chr4,182850000,183350000
580,chr4,183350000,185150000
581,chr4,185150000,186150000
582,chr4,186150000,189250000
583,chr5,4850000,5550000
584,chr5,5550000,6850000
585,chr5,6850000,7850000
586,chr5,7850000,13850000
587,chr5,13850000,15150000
588,chr5,15150000,16550000
589,chr5,16550000,17250000
590,chr5,17250000,18450000
591,chr5,18450000,21850000
592,chr5,21850000,24450000
593,chr5,24450000,28850000
594,chr5,28850000,31450000
595,chr5,31450000,33350000
596,chr5,33350000,34450000
597,chr5,34450000,35050000
598,chr5,35050000,36050000
599,chr5,36050000,37350000
600,chr5,37350000,38250000
601,chr5,38250000,38950000
602,chr5,38950000,40750000
603,chr5,40750000,41850000
604,chr5,41850000,42850000
605,chr5,42850000,43650000
606,chr5,43650000,44850000
607,chr5,44850000,50950000
608,chr5,50950000,52550000
609,chr5,52550000,54350000
610,chr5,54350000,55250000
611,chr5,55250000,56250000
612,chr5,56250000,57250000
613,chr5,57250000,58550000
614,chr5,58550000,59750000
615,chr5,59750000,60750000
616,chr5,60750000,62250000
617,chr5,62250000,63350000
618,chr5,63350000,64050000
619,chr5,64050000,64750000
620,chr5,64750000,65550000
621,chr5,65550000,66250000
622,chr5,66250000,67250000
623,chr5,67250000,68350000
624,chr5,68350000,68950000
625,chr5,68950000,72250000
626,chr5,72250000,72950000
627,chr5,72950000,73750000
628,chr5,73750000,74750000
629,chr5,74750000,75750000
630,chr5,75750000,77550000
631,chr5,77550000,78250000
632,chr5,78250000,80550000
633,chr5,80550000,81350000
634,chr5,81350000,82250000
635,chr5,82250000,83650000
636,chr5,83650000,86950000
637,chr5,86950000,87450000
638,chr5,87450000,88750000
639,chr5,88750000,90750000
640,chr5,90750000,91550000
641,chr5,91550000,94850000
642,chr5,94850000,95450000
643,chr5,95450000,97250000
644,chr5,97250000,98950000
645,chr5,98950000,100350000
646,chr5,100350000,102550000
647,chr5,102550000,103650000
648,chr5,103650000,108350000
649,chr5,108350000,109550000
650,chr5,109550000,110650000
651,chr5,110650000,112250000
652,chr5,112250000,113650000
653,chr5,113650000,115150000
654,chr5,115150000,116150000
655,chr5,116150000,118950000
656,chr5,118950000,119450000
657,chr5,119450000,121950000
658,chr5,121950000,123550000
659,chr5,123550000,126650000
660,chr5,126650000,127450000
661,chr5,127450000,128950000
662,chr5,128950000,129750000
663,chr5,129750000,130950000
664,chr5,130950000,132150000
665,chr5,132150000,133050000
666,chr5,133050000,134050000
667,chr5,134050000,134850000
668,chr5,134850000,136250000
669,chr5,136250000,137650000
670,chr5,137650000,140750000
671,chr5,140750000,142850000
672,chr5,142850000,144250000
673,chr5,144250000,146450000
674,chr5,146450000,147750000
675,chr5,147750000,149250000
676,chr5,149250000,152450000
677,chr5,152450000,153950000
678,chr5,153950000,155050000
679,chr5,155050000,157150000
680,chr5,157150000,157750000
681,chr5,157750000,159250000
682,chr5,159250000,159950000
683,chr5,159950000,160450000
684,chr5,160450000,163450000
685,chr5,163450000,168250000
686,chr5,168250000,169550000
687,chr5,169550000,170750000
688,chr5,170750000,171350000
689,chr5,171350000,171950000
690,chr5,171950000,174150000
691,chr5,174150000,174850000
692,chr5,174850000,175550000
693,chr5,175550000,178250000
694,chr5,178250000,179650000
695,chr5,179650000,180650000
696,chr6,550000,1450000
697,chr6,1450000,3150000
698,chr6,3150000,4150000
699,chr6,4150000,5350000
700,chr6,5350000,6550000
701,chr6,6550000,8250000
702,chr6,8250000,10350000
703,chr6,10350000,10950000
704,chr6,10950000,11550000
705,chr6,11550000,13650000
706,chr6,13650000,15650000
707,chr6,15650000,16250000
708,chr6,16250000,17050000
709,chr6,17050000,18450000
710,chr6,18450000,20050000
711,chr6,20050000,21550000
712,chr6,21550000,24350000
713,chr6,24350000,25950000
714,chr6,25950000,27150000
715,chr6,27150000,27850000
716,chr6,27850000,29650000
717,chr6,29650000,30350000
718,chr6,30350000,33250000
719,chr6,33250000,38750000
720,chr6,38750000,39950000
721,chr6,39950000,41250000
722,chr6,41250000,44350000
723,chr6,44350000,45950000
724,chr6,45950000,47850000
725,chr6,47850000,49450000
726,chr6,49450000,50750000
727,chr6,50750000,52150000
728,chr6,52150000,55250000
729,chr6,55250000,61050000
730,chr6,61050000,61850000
731,chr6,61850000,63850000
732,chr6,63850000,66550000
733,chr6,66550000,70250000
734,chr6,70250000,71550000
735,chr6,71550000,72150000
736,chr6,72150000,73350000
737,chr6,73350000,75950000
738,chr6,75950000,76550000
739,chr6,76550000,77550000
740,chr6,77550000,78850000
741,chr6,78850000,80050000
742,chr6,80050000,82250000
743,chr6,82250000,83050000
744,chr6,83050000,83650000
745,chr6,83650000,85750000
746,chr6,85750000,87050000
747,chr6,87050000,87850000
748,chr6,87850000,88850000
749,chr6,88850000,89850000
750,chr6,89850000,90550000
751,chr6,90550000,93350000
752,chr6,93350000,95250000
753,chr6,95250000,96550000
754,chr6,96550000,97450000
755,chr6,97450000,99250000
756,chr6,99250000,100750000
757,chr6,100750000,104450000
758,chr6,104450000,106350000
759,chr6,106350000,107050000
760,chr6,107050000,107950000
761,chr6,107950000,110450000
762,chr6,110450000,111050000
763,chr6,111050000,112250000
764,chr6,112250000,113950000
765,chr6,113950000,116150000
766,chr6,116150000,116850000
767,chr6,116850000,119050000
768,chr6,119050000,121350000
769,chr6,121350000,122350000
770,chr6,122350000,124850000
771,chr6,124850000,125950000
772,chr6,125950000,127250000
773,chr6,127250000,128650000
774,chr6,128650000,130150000
775,chr6,130150000,131650000
776,chr6,131650000,132450000
777,chr6,132450000,134050000
778,chr6,134050000,135050000
779,chr6,135050000,136350000
780,chr6,136350000,137650000
781,chr6,137650000,141650000
782,chr6,141650000,143450000
783,chr6,143450000,144050000
784,chr6,144050000,144550000
785,chr6,144550000,145850000
786,chr6,145850000,146750000
787,chr6,146750000,147350000
788,chr6,147350000,148550000
789,chr6,148550000,149950000
790,chr6,149950000,150850000
791,chr6,150850000,151450000
792,chr6,151450000,152350000
793,chr6,152350000,154050000
794,chr6,154050000,155350000
795,chr6,155350000,157250000
796,chr6,157250000,158150000
797,chr6,158150000,159150000
798,chr6,159150000,159750000
799,chr6,159750000,160550000
800,chr6,160550000,162950000
801,chr6,162950000,164150000
802,chr6,164150000,165250000
803,chr6,165250000,166150000
804,chr6,166150000,167050000
805,chr6,167050000,168950000
806,chr6,168950000,169750000
807,chr7,2850000,4650000
808,chr7,4650000,7550000
809,chr7,7550000,8350000
810,chr7,8350000,11350000
811,chr7,11350000,12450000
812,chr7,12450000,13250000
813,chr7,13250000,14650000
814,chr7,14650000,16150000
815,chr7,16150000,17750000
816,chr7,17750000,19750000
817,chr7,19750000,20550000
818,chr7,20550000,22050000
819,chr7,22050000,23750000
820,chr7,23750000,25150000
821,chr7,25150000,25950000
822,chr7,25950000,27150000
823,chr7,27150000,28150000
824,chr7,28150000,28950000
825,chr7,28950000,30650000
826,chr7,30650000,32450000
827,chr7,32450000,33150000
828,chr7,33150000,34250000
829,chr7,34250000,36450000
830,chr7,36450000,37850000
831,chr7,37850000,38750000
832,chr7,38750000,40150000
833,chr7,40150000,41850000
834,chr7,41850000,42850000
835,chr7,42850000,45250000
836,chr7,45250000,45750000
837,chr7,45750000,47150000
838,chr7,47150000,48350000
839,chr7,48350000,50050000
840,chr7,50050000,51250000
841,chr7,51250000,54650000
842,chr7,54650000,56350000
843,chr7,56350000,62750000
844,chr7,62750000,67450000
845,chr7,67450000,70750000
846,chr7,70750000,71750000
847,chr7,71750000,72650000
848,chr7,72650000,78050000
849,chr7,78050000,79150000
850,chr7,79150000,81450000
851,chr7,81450000,82050000
852,chr7,82050000,82750000
853,chr7,82750000,85050000
854,chr7,85050000,85850000
855,chr7,85850000,88150000
856,chr7,88150000,90050000
857,chr7,90050000,91050000
858,chr7,91050000,91850000
859,chr7,91850000,92550000
860,chr7,92550000,93150000
861,chr7,93150000,94450000
862,chr7,94450000,95950000
863,chr7,95950000,97150000
864,chr7,97150000,98050000
865,chr7,98050000,98850000
866,chr7,98850000,99450000
867,chr7,99450000,103350000
868,chr7,103350000,104150000
869,chr7,104150000,104850000
870,chr7,104850000,105550000
871,chr7,105550000,108650000
872,chr7,108650000,109750000
873,chr7,109750000,111650000
874,chr7,111650000,113750000
875,chr7,113750000,116050000
876,chr7,116050000,117350000
877,chr7,117350000,118350000
878,chr7,118350000,119250000
879,chr7,119250000,120750000
880,chr7,120750000,122050000
881,chr7,122050000,123450000
882,chr7,123450000,124950000
883,chr7,124950000,127550000
884,chr7,127550000,128450000
885,chr7,128450000,130150000
886,chr7,130150000,130850000
887,chr7,130850000,131650000
888,chr7,131650000,132650000
889,chr7,132650000,134550000
890,chr7,134550000,136150000
891,chr7,136150000,138050000
892,chr7,138050000,139250000
893,chr7,139250000,140550000
894,chr7,140550000,141850000
895,chr7,141850000,142250000
896,chr7,142250000,146150000
897,chr7,146150000,148350000
898,chr7,148350000,149050000
899,chr7,149050000,150950000
900,chr7,150950000,152150000
901,chr7,152150000,152950000
902,chr7,152950000,154750000
903,chr7,154750000,155750000
904,chr7,155750000,156850000
905,chr7,156850000,158550000
906,chr8,1650000,4850000
907,chr8,4850000,6350000
908,chr8,6350000,6850000
909,chr8,6850000,9850000
910,chr8,9850000,10450000
911,chr8,10450000,11350000
912,chr8,11350000,12950000
913,chr8,12950000,13750000
914,chr8,13750000,18050000
915,chr8,18050000,20350000
916,chr8,20350000,24450000
917,chr8,24450000,25050000
918,chr8,25050000,26750000
919,chr8,26750000,30050000
920,chr8,30050000,30750000
921,chr8,30750000,31250000
922,chr8,31250000,33550000
923,chr8,33550000,36750000
924,chr8,36750000,37750000
925,chr8,37750000,39850000
926,chr8,39850000,40950000
927,chr8,40950000,41650000
928,chr8,41650000,43150000
929,chr8,43150000,47150000
930,chr8,47150000,47850000
931,chr8,47850000,49050000
932,chr8,49050000,52550000
933,chr8,52550000,54550000
934,chr8,54550000,56350000
935,chr8,56350000,57450000
936,chr8,57450000,58550000
937,chr8,58550000,60450000
938,chr8,60450000,61550000
939,chr8,61550000,63250000
940,chr8,63250000,64350000
941,chr8,64350000,65650000
942,chr8,65650000,67550000
943,chr8,67550000,70050000
944,chr8,70050000,70650000
945,chr8,70650000,72250000
946,chr8,72250000,72950000
947,chr8,72950000,75550000
948,chr8,75550000,77450000
949,chr8,77450000,78350000
950,chr8,78350000,79650000
951,chr8,79650000,80150000
952,chr8,80150000,81750000
953,chr8,81750000,84550000
954,chr8,84550000,86550000
955,chr8,86550000,87550000
956,chr8,87550000,88450000
957,chr8,88450000,89650000
958,chr8,89650000,91450000
959,chr8,91450000,93550000
960,chr8,93550000,94450000
961,chr8,94450000,96250000
962,chr8,96250000,97650000
963,chr8,97650000,98150000
964,chr8,98150000,100050000
965,chr8,100050000,102150000
966,chr8,102150000,102950000
967,chr8,102950000,103650000
968,chr8,103650000,105750000
969,chr8,105750000,106750000
970,chr8,106750000,107850000
971,chr8,107850000,108750000
972,chr8,108750000,110750000
973,chr8,110750000,111850000
974,chr8,111850000,114150000
975,chr8,114150000,117350000
976,chr8,117350000,118650000
977,chr8,118650000,119150000
978,chr8,119150000,122550000
979,chr8,122550000,123350000
980,chr8,123350000,124550000
981,chr8,124550000,125050000
982,chr8,125050000,125750000
983,chr8,125750000,126750000
984,chr8,126750000,127650000
985,chr8,127650000,129650000
986,chr8,129650000,130750000
987,chr8,130750000,132050000
988,chr8,132050000,132650000
989,chr8,132650000,133550000
990,chr8,133550000,135350000
991,chr8,135350000,138050000
992,chr8,138050000,140450000
993,chr8,140450000,141550000
994,chr9,950000,2050000
995,chr9,2050000,2850000
996,chr9,2850000,4650000
997,chr9,4650000,5650000
998,chr9,5650000,6750000
